"","colnames(df_sel)"
"118","Norm_Area_241018_IP_HAM-CSF_RP-pos_120_H040-32raw_(F116)"
"119","Norm_Area_241018_IP_HAM-CSF_RP-pos_121_H089-4raw_(F117)"
"120","Norm_Area_241018_IP_HAM-CSF_RP-pos_122_H089-16raw_(F118)"
"121","Norm_Area_241018_IP_HAM-CSF_RP-pos_123_H089-28raw_(F119)"
"122","Norm_Area_241018_IP_HAM-CSF_RP-pos_124_H089-40raw_(F120)"
"123","Norm_Area_241018_IP_HAM-CSF_RP-pos_125_H089-52raw_(F121)"
"124","Norm_Area_241018_IP_HAM-CSF_RP-pos_126_H040-9raw_(F122)"
"125","Norm_Area_241018_IP_HAM-CSF_RP-pos_127_H040-21raw_(F123)"
"126","Norm_Area_241018_IP_HAM-CSF_RP-pos_128_H040-33raw_(F124)"
"127","Norm_Area_241018_IP_HAM-CSF_RP-pos_129_H089-5raw_(F125)"
"128","Norm_Area_241018_IP_HAM-CSF_RP-pos_130_H089-17raw_(F126)"
"129","Norm_Area_241018_IP_HAM-CSF_RP-pos_131_H089-29raw_(F127)"
"130","Norm_Area_241018_IP_HAM-CSF_RP-pos_132_H089-41raw_(F128)"
"131","Norm_Area_241018_IP_HAM-CSF_RP-pos_133_H089-53raw_(F129)"
"132","Norm_Area_241018_IP_HAM-CSF_RP-pos_134_QCraw_(F130)"
"133","Norm_Area_241018_IP_HAM-CSF_RP-pos_135_H040-10raw_(F131)"
"134","Norm_Area_241018_IP_HAM-CSF_RP-pos_136_H040-22raw_(F132)"
"135","Norm_Area_241018_IP_HAM-CSF_RP-pos_137_H040-34raw_(F133)"
"136","Norm_Area_241018_IP_HAM-CSF_RP-pos_138_H089-6raw_(F134)"
"137","Norm_Area_241018_IP_HAM-CSF_RP-pos_139_H089-18raw_(F135)"
"138","Norm_Area_241018_IP_HAM-CSF_RP-pos_140_H089-30raw_(F136)"
"139","Norm_Area_241018_IP_HAM-CSF_RP-pos_141_H089-42raw_(F137)"
"140","Norm_Area_241018_IP_HAM-CSF_RP-pos_142_H089-54raw_(F138)"
"141","Norm_Area_241018_IP_HAM-CSF_RP-pos_143_H040-11raw_(F139)"
"142","Norm_Area_241018_IP_HAM-CSF_RP-pos_144_H040-23raw_(F140)"
"143","Norm_Area_241018_IP_HAM-CSF_RP-pos_145_H040-35raw_(F141)"
"144","Norm_Area_241018_IP_HAM-CSF_RP-pos_146_H089-7raw_(F142)"
"145","Norm_Area_241018_IP_HAM-CSF_RP-pos_147_H089-19raw_(F143)"
"146","Norm_Area_241018_IP_HAM-CSF_RP-pos_148_H089-31raw_(F144)"
"147","Norm_Area_241018_IP_HAM-CSF_RP-pos_149_H089-43raw_(F145)"
"148","Norm_Area_241018_IP_HAM-CSF_RP-pos_150_H089-55raw_(F146)"
"149","Norm_Area_241018_IP_HAM-CSF_RP-pos_151_H040-12raw_(F147)"
"150","Norm_Area_241018_IP_HAM-CSF_RP-pos_152_H040-24raw_(F148)"
"151","Norm_Area_241018_IP_HAM-CSF_RP-pos_153_H040-36raw_(F149)"
