"sample_nr","tb_mean","variable","value"
89,34.5,"Tiglylcarnitine",0.284269197368778
90,34.3,"Tiglylcarnitine",0.791577209136587
91,34.7,"Tiglylcarnitine",0.849362543403917
92,34.7,"Tiglylcarnitine",0.862237928307424
93,33.8,"Tiglylcarnitine",0.255736296342547
94,33.4,"Tiglylcarnitine",0.530646202997673
95,33.5,"Tiglylcarnitine",0.604055981818515
96,33.3,"Tiglylcarnitine",0.353961911705359
97,35,"Tiglylcarnitine",0.495658675328286
98,35.7,"Tiglylcarnitine",0.273812157648931
99,34.7,"Tiglylcarnitine",0.446463692109033
100,34.2,"Tiglylcarnitine",-0.964123186623412
1,35.2,"Butyl Vanillyl Ether",0.502216571162894
2,34.7,"Butyl Vanillyl Ether",0.724185853351373
3,35,"Butyl Vanillyl Ether",0.724184288332467
4,30.9,"Butyl Vanillyl Ether",0.73252291425456
5,24.3,"Butyl Vanillyl Ether",0.606495507948179
6,18.1,"Butyl Vanillyl Ether",0.415533308419009
7,13,"Butyl Vanillyl Ether",0.318378849320092
8,10.7,"Butyl Vanillyl Ether",-1.62577565816142
9,10,"Butyl Vanillyl Ether",-0.0203834224776804
10,9.3,"Butyl Vanillyl Ether",-0.13236924798279
11,8.9,"Butyl Vanillyl Ether",0.122568184538173
12,8.8,"Butyl Vanillyl Ether",0.161796497796996
13,8.7,"Butyl Vanillyl Ether",0.123079963223146
14,8.7,"Butyl Vanillyl Ether",0.264383392980745
15,8.6,"Butyl Vanillyl Ether",0.451338686841321
16,8.6,"Butyl Vanillyl Ether",0.362588866570578
17,8.8,"Butyl Vanillyl Ether",0.144483838098832
18,9,"Butyl Vanillyl Ether",-0.000134678118912837
19,9.2,"Butyl Vanillyl Ether",0.315722102604282
20,9.4,"Butyl Vanillyl Ether",0.464186065834698
21,9.7,"Butyl Vanillyl Ether",-0.0444954989888753
22,10,"Butyl Vanillyl Ether",0.118163902601824
23,10,"Butyl Vanillyl Ether",0.0966293974634018
24,9.9,"Butyl Vanillyl Ether",0.114484755078648
25,9.9,"Butyl Vanillyl Ether",0.23880657784186
26,10.1,"Butyl Vanillyl Ether",0.274381213230411
27,10.5,"Butyl Vanillyl Ether",0.276325427264783
28,11.6,"Butyl Vanillyl Ether",0.257529082946601
29,30.9,"Butyl Vanillyl Ether",0.379171682376028
30,34.4,"Butyl Vanillyl Ether",0.841882119243486
31,34.9,"Butyl Vanillyl Ether",1.11289463885315
32,34.5,"Butyl Vanillyl Ether",0.820216911363774
33,34.2,"Butyl Vanillyl Ether",0.353202916657437
34,34.5,"Butyl Vanillyl Ether",0.485950688664086
35,33.9,"Butyl Vanillyl Ether",0.582443805159187
36,34.1,"Butyl Vanillyl Ether",0.480260313431524
37,34.1,"Butyl Vanillyl Ether",0.751540585299746
38,34.4,"Butyl Vanillyl Ether",0.732455012596784
39,33.9,"Butyl Vanillyl Ether",1.65737135189003
40,33.7,"Butyl Vanillyl Ether",0.553540664078815
41,33.5,"Butyl Vanillyl Ether",0.648087409251484
42,33.5,"Butyl Vanillyl Ether",1.32642408916457
43,34.1,"Butyl Vanillyl Ether",1.15391405579623
44,33.9,"Butyl Vanillyl Ether",1.11128552711883
45,32.3,"Butyl Vanillyl Ether",0.572164347848176
46,28.6,"Butyl Vanillyl Ether",0.544155157916634
47,22.5,"Butyl Vanillyl Ether",0.282122924163514
48,15.6,"Butyl Vanillyl Ether",0.392865679772516
49,12.8,"Butyl Vanillyl Ether",1.39660149371714
50,12.3,"Butyl Vanillyl Ether",1.51471335325172
51,11.5,"Butyl Vanillyl Ether",0.398553505594059
52,11.2,"Butyl Vanillyl Ether",0.430032905306538
53,10.8,"Butyl Vanillyl Ether",0.353859465468522
54,10.4,"Butyl Vanillyl Ether",0.149133507079733
55,10.2,"Butyl Vanillyl Ether",0.542774343898603
56,10,"Butyl Vanillyl Ether",0.627316974471285
57,9.7,"Butyl Vanillyl Ether",-0.23283345131871
58,9.3,"Butyl Vanillyl Ether",-0.544672307470847
59,9.1,"Butyl Vanillyl Ether",-0.141883653034902
60,8.9,"Butyl Vanillyl Ether",-0.22458858219822
61,8.6,"Butyl Vanillyl Ether",-0.289441568281707
62,8.5,"Butyl Vanillyl Ether",-0.120776202201249
63,8.3,"Butyl Vanillyl Ether",-0.0728344308953627
64,8.1,"Butyl Vanillyl Ether",-1.33373826272996
65,7.9,"Butyl Vanillyl Ether",-0.0927018835897038
66,7.7,"Butyl Vanillyl Ether",0.0185286064346878
67,7.6,"Butyl Vanillyl Ether",0.298725249224505
68,7.5,"Butyl Vanillyl Ether",0.0687663176183714
69,7.5,"Butyl Vanillyl Ether",-0.156248598390483
70,7.5,"Butyl Vanillyl Ether",-0.243432232468275
71,7.5,"Butyl Vanillyl Ether",0.0388295976239855
72,7.7,"Butyl Vanillyl Ether",-0.564650940265186
73,7.9,"Butyl Vanillyl Ether",-0.289322606721122
74,8,"Butyl Vanillyl Ether",-0.0137750972280878
75,8,"Butyl Vanillyl Ether",-0.0109124205998492
76,7.8,"Butyl Vanillyl Ether",-1.16875628162568
77,7.7,"Butyl Vanillyl Ether",-0.00257301384167796
78,7.6,"Butyl Vanillyl Ether",-0.00940672787902809
79,7.6,"Butyl Vanillyl Ether",0.220600592846566
80,7.6,"Butyl Vanillyl Ether",0.134696344865856
81,7.6,"Butyl Vanillyl Ether",-0.28445869954624
82,15,"Butyl Vanillyl Ether",0.14489841654956
83,34.3,"Butyl Vanillyl Ether",0.380346686016292
84,34.4,"Butyl Vanillyl Ether",0.552592289989679
85,34.4,"Butyl Vanillyl Ether",1.0114761497783
86,34.4,"Butyl Vanillyl Ether",0.322035804752672
87,34.7,"Butyl Vanillyl Ether",0.219858402867769
