"","tag","Metabolite","Max_Correlation","mean_top5","min_top5","Lag","ci_lower","ci_upper","significant","Phase_deg","Phase_rad","Timing","Amplitude"
"235","F","359.19464/6.361",0.55980596156589,0.527795657231535,0.51107993439406,-25,-0.271201912154835,0.275529537549214,TRUE,186.923076923077,3.26242314026632,"Precedes Tb",1.90959201122273
"236","C","Np-020401",0.559752438776456,0.542519558092206,0.53177736611372,25,-0.278176564279986,0.279445736653663,TRUE,173.076923076923,3.02076216691326,"After Tb",1.59739493705176
"237","D","()-Camphoric Aci",0.559554967800904,0.549954101836537,0.543700890703543,20,-0.271806867236493,0.274465182998257,TRUE,138.461538461538,2.41660973353061,"After Tb",1.51523448511093
"238","F","Neca",0.558386425402046,0.536022781729582,0.513888298924535,25,-0.277277678603569,0.277364373345493,TRUE,173.076923076923,3.02076216691326,"After Tb",1.36538212016774
"239","F","168.03989/1.889",0.557211875130472,0.512787225778752,0.451513567281965,-1,-0.27528580695136,0.280665766005774,TRUE,353.076923076923,6.16235482050306,"Synchronous",2.28030681482246
"240","D","5-Methylbenzimidazole",0.554310884053321,0.472452809888288,0.411022054225508,28,-0.282650522102265,0.273749113427856,TRUE,193.846153846154,3.38325362694285,"Precedes Tb",1.75046000317931
"241","D","Capryloylglycine",0.554192829575295,0.542644490845557,0.521757454490557,-1,-0.272885636318515,0.276627364670087,TRUE,353.076923076923,6.16235482050306,"Synchronous",2.66644289848198
"242","F","611.8756/0.871",0.553986958538733,0.487391470786224,0.436326831955229,1,-0.276195405587977,0.278025412457677,TRUE,6.92307692307692,0.120830486676531,"Synchronous",2.18043057781277
"243","F","279.84028/0.902",0.553289213144409,0.530391362991083,0.501494911215256,22,-0.275930204461443,0.274415356907015,TRUE,152.307692307692,2.65827070688367,"After Tb",1.92678700501964
"244","D","N-Nitrosoproline",0.551769798119748,0.530506578854001,0.507573913274636,25,-0.274036940564678,0.276150429565209,TRUE,173.076923076923,3.02076216691326,"After Tb",2.55034248218375
