"","Metabolite","Max_Correlation","mean_top5","min_top5","Lag","ci_lower","ci_upper","significant","Phase_deg","Phase_rad","Timing","Amplitude"
"222","336.11861/6.266",0.46202844394837,0.450388991570713,0.441593128188656,-20,-0.241574937265304,0.240872341633959,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.43461038191902
"223","Guaietolin",0.461431887318741,0.446994669878563,0.438999642151734,-20,-0.242392613765309,0.242798894841665,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.46444571416185
"224","268.12874/4.047",0.460535685834698,0.423168744082159,0.38277043617847,-1,-0.232433480796152,0.238152032568204,TRUE,353.076923076923,6.16235482050306,"Synchronous",1.88563361989962
"225","N-(9-Oxodecyl)Acetamide",0.460493472213492,0.420719175259987,0.367649789497899,-1,-0.23347898893943,0.2454888915262,TRUE,353.076923076923,6.16235482050306,"Synchronous",3.00224336050308
"226","Asarone",0.460340375597362,0.433681140017259,0.396666848237283,-1,-0.227490009229101,0.221597874119671,TRUE,353.076923076923,6.16235482050306,"Synchronous",1.52118307694717
"227","271.14207/5.027",0.459492384579364,0.420116952101919,0.376969020172716,0,-0.231923206997731,0.224757680726999,TRUE,0,0,"Synchronous",1.65674421848583
"228","Butyl Vanillyl Ether",0.45850086231694,0.438391703235464,0.411544461740453,-1,-0.231596696704429,0.231049870215664,TRUE,353.076923076923,6.16235482050306,"Synchronous",1.64157350502573
"229","287.17338/5.119",0.458138198510025,0.443011148314141,0.414324635971747,-19,-0.233921459124285,0.242547201672352,TRUE,228.461538461538,3.98740606032551,"Precedes Tb",2.35319669809572
"230","359.19464/6.361",0.457601427067918,0.445007670119672,0.42878791874511,-20,-0.238710094972345,0.240408207489119,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.90959201122273
"231","P-Nitroacetophenone",0.456954393117657,0.423480243717108,0.383312421540221,0,-0.214602948356597,0.235794822666583,TRUE,0,0,"Synchronous",3.02191685890995
"232","315.1683/7.899",0.456852752118653,0.423277966629522,0.387533558748326,-20,-0.237234726037415,0.234140688302651,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.43004585004419
"233","289.22543/6.259",0.456203367940976,0.432004014155062,0.395828745279738,-1,-0.232128388489926,0.226723704089156,TRUE,353.076923076923,6.16235482050306,"Synchronous",2.3016623910846
"234","351.22591/4.241",0.455890987328244,0.428941505581966,0.398127078512609,1,-0.232502221073825,0.230505745416583,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.35085505520933
"235","331.1996/4.196",0.455443034831086,0.415452093025145,0.392110620187033,-20,-0.237275524350557,0.232402059528338,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.5225442539561
"236","352.1864/8.199",0.4545876467123,0.39814424041934,0.331541330375786,-1,-0.222561013639925,0.219085707728989,TRUE,353.076923076923,6.16235482050306,"Synchronous",1.41283362373756
"237","183.19873/6.489",0.454045043915001,0.440121079659376,0.41832698646564,24,-0.233210894412125,0.246562547475094,TRUE,166.153846153846,2.89993168023673,"After Tb",2.59739862507139
"238","Octyl (4î)-2-Deoxy-2-(Z)-(1-Hydroxyethylidene)Amino-Î-D-Xylo-Hexopyranosi",0.453066472527948,0.429546284793363,0.396838637895421,-1,-0.233403880003686,0.224339976073678,TRUE,353.076923076923,6.16235482050306,"Synchronous",1.49476842410055
"239","347.80711/0.902",0.452327074828418,0.436330477000082,0.408973954020317,-2,-0.237580036626171,0.234022327650444,TRUE,346.153846153846,6.04152433382653,"Synchronous",2.2675563160838
"240","287.17333/4.104",0.451348474880047,0.40873097779143,0.379837253979866,-20,-0.236278569434178,0.22962922652583,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.44784300981338
"241","331.16326/6.271",0.451292497189583,0.428446868834025,0.415223366393944,-20,-0.240119564596931,0.241111732672726,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.45702814721234
"242","359.19461/6.271",0.450691675760952,0.410935414593126,0.375216852055254,-20,-0.236297140102979,0.23001330223357,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.43286259777705
"243","267.94089/0.805",0.449564534848216,0.405394077727744,0.364483603002233,1,-0.241265105508344,0.243126957229516,TRUE,6.92307692307692,0.120830486676531,"Synchronous",2.18004362101767
"244","331.83302/0.899",0.44872231086576,0.401088689160408,0.37253320576516,0,-0.231715145998726,0.235253086785837,TRUE,0,0,"Synchronous",1.5268654248641
"245","Imagabalin",0.448597260379887,0.434473914787531,0.421077345050598,9,-0.228534283252392,0.228327856377952,TRUE,62.3076923076923,1.08747438008877,"After Tb",2.0620381950479
"246","3-(3-Hydroxynonanoyl)Oxy-4-(Trimethylammonio)Butanoate",0.448152714259583,0.422298162312252,0.390395870627067,1,-0.234549004683787,0.228355688711724,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.59944329921108
"247","252.13383/5.674",0.446904131649052,0.417006172853196,0.368885454102086,-1,-0.239720548342468,0.243305455233273,TRUE,353.076923076923,6.16235482050306,"Synchronous",2.241579289223
"248","335.19455/4.979",0.445916751914307,0.419190248369631,0.390951907445064,0,-0.234677634330259,0.231395910259182,TRUE,0,0,"Synchronous",1.56651060817018
"249","235.14203/2.498",0.445807566008031,0.437064017928267,0.430513923186488,-20,-0.24317897176898,0.247494662498769,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.96075680406499
"250","289.8483/0.898",0.445159902281339,0.381719568263267,0.33070906520649,0,-0.223483429783131,0.226175242755387,TRUE,0,0,"Synchronous",1.72724402758341
"251","291.20466/4.175",0.444825280993766,0.420378163464992,0.396206513800479,1,-0.23518179520538,0.235867265461568,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.56217957807632
"252","232.09237/1.424",0.44477021798636,0.421696294108178,0.401260994056121,1,-0.221900383290998,0.225887271450047,TRUE,6.92307692307692,0.120830486676531,"Synchronous",2.3219951554838
"253","210.0505/3.665",0.444686603567375,0.429627507198618,0.408278290353642,25,-0.236945962983361,0.236589316739939,TRUE,173.076923076923,3.02076216691326,"After Tb",1.70995384157477
"254","169.96962/1.338",0.44391105161755,0.414439095168556,0.376538298698475,-1,-0.238133039090548,0.242826879505791,TRUE,353.076923076923,6.16235482050306,"Synchronous",2.5482720043171
