date,time,datetime,Tb,ID,Sample_nr
30/05/2023,01:01:32,30/05/2023 01:01,8.98,H089,
30/05/2023,01:16:32,30/05/2023 01:16,9.01,H089,
30/05/2023,01:31:32,30/05/2023 01:31,8.98,H089,
30/05/2023,01:46:32,30/05/2023 01:46,9.02,H089,
30/05/2023,02:01:32,30/05/2023 02:01,9.02,H089,
30/05/2023,02:16:32,30/05/2023 02:16,9.08,H089,
30/05/2023,02:31:32,30/05/2023 02:31,9.11,H089,
30/05/2023,02:46:32,30/05/2023 02:46,9.18,H089,
30/05/2023,03:01:31,30/05/2023 03:01,9.24,H089,
30/05/2023,03:16:31,30/05/2023 03:16,9.27,H089,
30/05/2023,03:31:31,30/05/2023 03:31,9.3,H089,
30/05/2023,03:46:31,30/05/2023 03:46,9.27,H089,
30/05/2023,04:01:31,30/05/2023 04:01,9.29,H089,
30/05/2023,04:16:31,30/05/2023 04:16,9.34,H089,
30/05/2023,04:31:31,30/05/2023 04:31,9.38,H089,
30/05/2023,04:46:31,30/05/2023 04:46,9.41,H089,
30/05/2023,05:01:30,30/05/2023 05:01,9.47,H089,
30/05/2023,05:16:30,30/05/2023 05:16,9.46,H089,
30/05/2023,05:31:30,30/05/2023 05:31,9.46,H089,
30/05/2023,05:46:30,30/05/2023 05:46,9.5,H089,
30/05/2023,06:01:30,30/05/2023 06:01,9.49,H089,
30/05/2023,06:16:30,30/05/2023 06:16,9.48,H089,
30/05/2023,06:31:30,30/05/2023 06:31,9.49,H089,
30/05/2023,06:46:30,30/05/2023 06:46,9.56,H089,
30/05/2023,07:01:30,30/05/2023 07:01,9.67,H089,
30/05/2023,07:16:29,30/05/2023 07:16,9.8,H089,
30/05/2023,07:31:29,30/05/2023 07:31,9.89,H089,
30/05/2023,07:46:29,30/05/2023 07:46,9.95,H089,
30/05/2023,08:01:29,30/05/2023 08:01,10,H089,
30/05/2023,08:16:29,30/05/2023 08:16,10.03,H089,
30/05/2023,08:31:29,30/05/2023 08:31,10.01,H089,
30/05/2023,08:46:29,30/05/2023 08:46,10,H089,
30/05/2023,09:01:29,30/05/2023 09:01,10.03,H089,
30/05/2023,09:16:28,30/05/2023 09:16,9.97,H089,
30/05/2023,09:31:28,30/05/2023 09:31,9.96,H089,
30/05/2023,09:46:28,30/05/2023 09:46,9.98,H089,
30/05/2023,10:01:28,30/05/2023 10:01,10,H089,
30/05/2023,10:16:28,30/05/2023 10:16,9.99,H089,
30/05/2023,10:31:27,30/05/2023 10:31,9.98,H089,
30/05/2023,10:46:26,30/05/2023 10:46,9.99,H089,
30/05/2023,11:01:26,30/05/2023 11:01,10.01,H089,
30/05/2023,11:16:25,30/05/2023 11:16,10.04,H089,
30/05/2023,11:31:25,30/05/2023 11:31,10.04,H089,
30/05/2023,11:46:24,30/05/2023 11:46,10,H089,
30/05/2023,12:01:23,30/05/2023 12:01,10,H089,
30/05/2023,12:16:23,30/05/2023 12:16,9.97,H089,
30/05/2023,12:31:22,30/05/2023 12:31,9.99,H089,
30/05/2023,12:46:21,30/05/2023 12:46,9.97,H089,
30/05/2023,13:01:21,30/05/2023 13:01,9.94,H089,
30/05/2023,13:16:20,30/05/2023 13:16,9.88,H089,
30/05/2023,13:31:19,30/05/2023 13:31,9.84,H089,
30/05/2023,13:46:19,30/05/2023 13:46,9.82,H089,
30/05/2023,14:01:18,30/05/2023 14:01,9.85,H089,
30/05/2023,14:16:18,30/05/2023 14:16,9.86,H089,
30/05/2023,14:31:17,30/05/2023 14:31,9.88,H089,
30/05/2023,14:46:16,30/05/2023 14:46,9.9,H089,
30/05/2023,15:01:16,30/05/2023 15:01,9.93,H089,
30/05/2023,15:16:15,30/05/2023 15:16,9.96,H089,
30/05/2023,15:31:14,30/05/2023 15:31,10,H089,
30/05/2023,15:46:14,30/05/2023 15:46,10.07,H089,
30/05/2023,16:01:13,30/05/2023 16:01,10.1,H089,
30/05/2023,16:16:13,30/05/2023 16:16,10.15,H089,
30/05/2023,16:31:13,30/05/2023 16:31,10.18,H089,
30/05/2023,16:46:13,30/05/2023 16:46,10.16,H089,
30/05/2023,17:01:13,30/05/2023 17:01,10.14,H089,
30/05/2023,17:16:13,30/05/2023 17:16,10.09,H089,
30/05/2023,17:31:13,30/05/2023 17:31,10.07,H089,
30/05/2023,17:46:13,30/05/2023 17:46,10.08,H089,
30/05/2023,18:01:13,30/05/2023 18:01,10.12,H089,
30/05/2023,18:16:13,30/05/2023 18:16,10.28,H089,
30/05/2023,18:31:13,30/05/2023 18:31,10.44,H089,
30/05/2023,18:46:13,30/05/2023 18:46,10.56,H089,
30/05/2023,19:01:13,30/05/2023 19:01,10.65,H089,
30/05/2023,19:16:13,30/05/2023 19:16,10.71,H089,
30/05/2023,19:31:13,30/05/2023 19:31,10.68,H089,
30/05/2023,19:46:13,30/05/2023 19:46,10.6,H089,
30/05/2023,20:01:13,30/05/2023 20:01,10.55,H089,
30/05/2023,20:16:13,30/05/2023 20:16,10.55,H089,
30/05/2023,20:31:13,30/05/2023 20:31,10.58,H089,
30/05/2023,20:46:13,30/05/2023 20:46,10.74,H089,
30/05/2023,21:01:13,30/05/2023 21:01,10.98,H089,
30/05/2023,21:16:14,30/05/2023 21:16,11.39,H089,
30/05/2023,21:31:14,30/05/2023 21:31,12.5,H089,
30/05/2023,21:46:14,30/05/2023 21:46,15.41,H089,
30/05/2023,22:01:14,30/05/2023 22:01,20.01,H089,
30/05/2023,22:16:14,30/05/2023 22:16,24.76,H089,
30/05/2023,22:31:14,30/05/2023 22:31,30.92,H089,
30/05/2023,22:46:14,30/05/2023 22:46,33.46,H089,
30/05/2023,23:01:14,30/05/2023 23:01,34.05,H089,
30/05/2023,23:16:14,30/05/2023 23:16,35.72,H089,
30/05/2023,23:31:14,30/05/2023 23:31,34.35,H089,
30/05/2023,23:46:14,30/05/2023 23:46,34.32,H089,
31/05/2023,00:01:14,31/05/2023 00:01,34.24,H089,
31/05/2023,00:16:14,31/05/2023 00:16,34.65,H089,
31/05/2023,00:31:14,31/05/2023 00:31,35.13,H089,
31/05/2023,00:46:14,31/05/2023 00:46,34.34,H089,
31/05/2023,01:01:14,31/05/2023 01:01,34.1,H089,
